Five response C-value species
asplenium bradleyi
asplenium scolopendrium var. americanum
athyrium angustatum
cypripedium reginae
cystopteris fragilis
huperzia x bartleyi
onoclea sensibilis var. sensibilis
sullivantia sullivantii

Three response C-value species
micranthes pensylvanica
vitex negundo
bupleurum rotundifolium
asarum chueyi
lithospermum bejariense
streptopus lanceolatus var. lanceolatus
magnolia pyramidata
silphium pinnatifidum
viburnum prunifolium
schisandra glabra
isoetes melanopoda ssp. melanopoda
thaspium pinnatifidum
dichondra carolinensis
carduus acanthoides ssp. acanthoides
cucurbita melopepo var. melopepo
clinopodium calamintha
saxifraga tridactylites
lathyrus aphaca
diervilla lonicera
calystegia silvatica
lespedeza cuneata
elymus svensonii
persicaria perfoliata
fraxinus excelsior
polymnia johnbeckii
ruellia caroliniensis
salvia urticifolia
zanthoxylum americanum
trillium stamineum
achillea borealis
chrysogonum virginianum var. brevistolon
agave virginica
carpinus caroliniana var. caroliniana
bletilla striata
opuntia cespitosa
toxicodendron radicans var. negundo
bassia hyssopifolia
polytaenia nuttallii
diodella teres
lamium amplexicaule var. amplexicaule
gonolobus suberosus var. granulatus
anemone caroliniana
chaenorrhinum minus ssp. minus
stachys glandulosissima
xanthium strumarium var. strumarium
oxybasis glauca ssp. glauca
cuscuta compacta
cirsium horridulum var. horridulum
tussilago farfara
lechea mucronata
helianthus pauciflorus ssp. pauciflorus
cyanus segetum
dianthus armeria ssp. armeria
pilosella hieracioides
pteridium latiusculum var. latiusculum
prunella vulgaris ssp. vulgaris
lamium album
brickellia eupatorioides var. corymbulosa
buddleja lindleyana
asclepias tuberosa var. interior
salvia sylvestris
helianthus grosseserratus
hieracium marianum
dianthus plumaruis ssp. plumarius
eriogonum harperi
lemna perpusilla
ageratina luciae-brauniae
eupatorium rotundifolium
betula lenta var. lenta
seriocarpus asteroides
osmundastrum cinnamomeum
oxalis macrantha
ribes rotundifolium
smilax rotundifolia
helianthus atrorubens
cucurbita maxima
oxydendrum arboreum
bromus inermis
pteridium latiusculum var. pseudocaudatum
asclepias viridiflora
catharanthus roseus
pilosella caespitosa
trillium undulatum
cucurbita melopepo var. ozarkana
cypripedium candidum
lamium dissectum
lactuca graminifolia
thalictrum hepaticum
hedera helix var. helix
prunella vulgaris ssp. lanceolata
albizia julibrissin
tragopogon lamottei
convolvulus fraterniflorus
dianthus barbatus ssp. barbatus
carex juniperorum
holosteum umbellatum ssp. umbellatum
lechea pulchella var. ramosissima
verbascum thapsus ssp. thapsus
chrysosplenium americanum
ribes rubrum
smilax bona-nox var. bona-nox
erythronium umbilicatum ssp. monostolum
trillium lancifolium
clintonia borealis
pilosella aurantiaca
mirabilis nyctaginea
eschscholzia californica
verbena incompta
hypericum interior
myosurus minimus
phacelia fimbriata
datura metel
firmiana simplex
lilium philippinense
silene rotundifolia
lactuca saligna
nestronia umbellula
echinacea tennesseensis
microstegium vimineum
elaeagnus pungens
verbena rigida
arisaema dracontium
myosotis laxa ssp. laxa
eupatorium x pinnatifidum
symphyotrichum pilosum var. pilosum
circaea lutetiana
perilla frutescens
salix x sepulcralis
pueraria montana var. lobata
clerodendrum trichotomum var. ferrugineum
dulichium arundinaceum var. arundinaceum
trillium luteum
ficaria verna ssp. calthifolia
cuscuta campestris
ageratina altissima var. roanensis
arctium minus
euphorbia nutans
convolvulus catesbeianus
viburnum rhytidophyllum
lespedeza bicolor
blephilia subnuda
