dianthus barbatus ssp. barbatus
dianthus plumaruis ssp. plumarius
dichanthelium acuminatum var. acuminatum
dichanthelium dichotomum var. dichotomum
dichanthelium ensifolium
dichondra carolinensis
diervilla lonicera
diervilla rivularis
diervilla sessilifolia
digitaria ciliaris
digitaria filiformis var. filiformis
dinebra panicea ssp. mucronata
diodella teres
diphasiastrum x habereri
drosera rotundifolia
dulichium arundinaceum var. arundinaceum
echinacea tennesseensis
echinochloa crusgalli var. crusgalli
egeria densa
eichhornia crassipes
elaeagnus pungens
eleocharis brittonii
elephantopus tomentosus
eleusine indica
elymus elymoides ssp. brevifolius
elymus hystrix var. bigelovianus
elymus svensonii
elymus villosus var. arkansanus
elymus villosus var. villosus
enemion biternatum
epilobium brachycarpum
eragrostis cilianensis
eragrostis curvula
eremochloa ophiuroides
erianthus contortus
erigenia bulbosa
erigeron allisoni
erigeron philadelphicus var. philadelphicus
erigeron strigosus var. septentrionalis
eriochloa lemmonii
eriogonum harperi
erythronium americanum ssp. harperi
erythronium umbilicatum ssp. monostolum
eschscholzia californica
euonymus alatus
euonymus obovatus
eupatorium pubescens
eupatorium rotundifolium
eupatorium scabridum
eupatorium vaseyi
eupatorium x godfreyanum
eupatorium x pinnatifidum
euphorbia mercurialina
euphorbia nutans
euphorbia platyphyllos
eurybia saxicastellii
eurybia surculosa
euthamia graminifolia var. nuttallii
euthamia gymnospermoides
eutrochium fistulosum
eutrochium steelei
facelis retusa
fagus grandifolia var. caroliniana
fagus grandifolia var. grandifolia
fagus sylvatica
fallopia cilinodis
fatoua villosa
festuca bromoides
festuca myuros
festuca octoflora var. octoflora
festuca octoflora var. tenella
festuca sciurea
ficaria verna ssp. calthifolia
fimbristylis miliacea
firmiana simplex
fleischmannia incarnata
frasera caroliniensis
fraxinus excelsior
froelichia campestris
fuirena simplex var. aristulata
galium obtusum var. obtusum
galium orizabense ssp. laevicaule
galium pedemontanum
galium sherardia
galium tinctorium var. tinctorium
gamochaeta antillana
gamochaeta coarctata
gaylussacia ursina
